AUV X [m],AUV Y [m],AUV Z [m],AUV Heading [Degrees],Time Stamp [s]
2.3039024107970794,1.5174646355702461,2.916064650351373,105.21995370113157,0.1
2.311015488782835,1.5293808149981016,2.908786076132704,105.0268802962844,0.2
2.3074154101257296,1.5268911403843344,2.9076328439762698,103.58187721072765,0.3
2.309896167661361,1.5148777922665755,2.899547303850331,102.41621064824051,0.4
2.3126853090632964,1.5015598345312964,2.894145161806712,101.59969368969932,0.5
2.315434711225325,1.493115851981705,2.89144177150023,100.98817953390233,0.6
2.3233834581743587,1.4900598125906555,2.89091664886772,101.04489694371622,0.7
2.3243902797265683,1.4900225950027322,2.8910323796422706,100.55873758832632,0.8
2.3250858889742227,1.4911694976653924,2.8918440696164804,100.14472113973689,0.9
2.325461474205665,1.4921177975089353,2.8926457587048766,99.74695490165512,1.0
2.327871617456233,1.4900291051169472,2.8904909971399952,98.81612674528151,1.1
2.328820449631756,1.4845033048735652,2.889592466086259,97.91024760164757,1.2
2.331320114044897,1.4793622740110117,2.888688090906041,97.4075988132234,1.3
2.3316382502214545,1.4767515116400527,2.8896944706695304,97.03224308830667,1.4
2.330762022040614,1.4750701591697628,2.8908204714358208,96.76270851443888,1.5
2.3290662393662505,1.4682392804605726,2.884766827352322,96.5684638633985,1.6
2.3221260597580597,1.4568449128944996,2.8775563961022295,96.08110825316668,1.7
2.318233170152282,1.4398966362553298,2.8712642117206513,96.03704055875545,1.8
2.312969742066827,1.4157407383994483,2.8641436076228945,96.01397330602616,1.9
2.3095586274654147,1.3819073249613076,2.869219399293229,96.19467436858304,2.0
2.3048496665266565,1.3426964837164987,2.8764109386415493,96.40985502556943,2.1
2.298680185059356,1.300803676185667,2.883587515419719,96.64116490593975,2.2
2.29141395649296,1.2569520455856478,2.8922062763992704,97.01601850757507,2.3
2.2823924375802833,1.212574763466109,2.9015634560625543,97.28135279592502,2.4
2.272498228096763,1.1687962973561075,2.9115396995982965,97.49467224910926,2.5
2.261639706608843,1.129549644758457,2.9283073465622182,97.65594861970291,2.6
2.24946489928166,1.096115923248318,2.935399440700734,97.87449460156934,2.7
2.237672658594911,1.0709049031920073,2.9446846140516234,98.02738394902813,2.8
2.226483402166781,1.0596074494901455,2.951630872036314,98.22223103402767,2.9
2.2123655786667524,1.0678577728904384,2.9402418657930767,98.17835424092036,3.0
2.201266472742421,1.0890795132868243,2.936153531673953,98.07707741331367,3.1
2.190554312994865,1.1227161636094967,2.919095415611571,98.04090157838067,3.2
2.1826802921660424,1.1676920063360663,2.9033517195887453,97.81636429885839,3.3
2.180578461417851,1.222600077912258,2.8900721411201666,98.05455290324568,3.4
2.1816752013030465,1.2833705910223796,2.877039769469609,98.22354021017188,3.5
2.186102748668552,1.3430323354990839,2.879261980829214,98.26623567515922,3.6
2.1942185851577105,1.4010435935429013,2.8910458498355878,98.18863818182436,3.7
2.205024222516252,1.4554990612509293,2.899650844241621,98.02267005649801,3.8
2.2164329063669626,1.5018242584821713,2.911040872252027,98.03282120338409,3.9
2.230407470439977,1.5372096640042687,2.9276750184338507,97.98876570854017,4.0
2.242488323728599,1.5632930300310444,2.935759050543267,98.03642284883618,4.1
2.255041371916664,1.577864330447411,2.9574481743658656,98.05971204572839,4.2
2.263216348752664,1.5872645977425779,2.9570255239133667,98.66032938576616,4.3
2.2667621941073204,1.585286462808303,2.9543790049278615,98.90174145381302,4.4
2.268496787607802,1.572944163536668,2.950920128062951,99.21778352562418,4.5
2.265407143659757,1.5581826907409708,2.9298797847176985,99.84262451279278,4.6
2.2585283666891995,1.533054480627253,2.9226494223278676,100.20208499181315,4.7
2.246409518096136,1.5042676734853608,2.916637052705443,100.7557872796087,4.8
2.2313302149161367,1.4729033809802867,2.905145508018226,101.15063140252562,4.9
2.2123953567294503,1.440746241281078,2.8919715053542694,101.70885094908394,5.0
2.1910935223105197,1.4092859453277404,2.879595433453453,102.26349523244066,5.1
2.167840676275122,1.3800091779799268,2.866853230458966,102.82687788802347,5.2
2.145039790665715,1.3483621598696636,2.8716254471559077,102.95645617929165,5.3
2.121249726656834,1.3208124909028185,2.876331790689609,103.1871267508975,5.4
2.095930347088808,1.3001832938289084,2.882796466892411,103.4955051503355,5.5
2.071638036393507,1.285092142603159,2.8911801652144162,103.69010474886666,5.6
2.0487591673911303,1.2803762700611976,2.8843988123624986,104.21584595379906,5.7
2.026649593838319,1.2814204001980214,2.871115159790077,104.65905942655358,5.8
2.009557191235822,1.2910920733003877,2.8616629632889294,105.35980880386288,5.9
1.994556913022756,1.3047040909528247,2.8562565587845077,106.06999908900184,6.0
1.981285452902209,1.3214800758362955,2.8513723470635117,106.70212816501514,6.1
1.9706846237711797,1.3420883972129527,2.8444807423495697,107.36019561219129,6.2
1.95978483718411,1.3633335542024194,2.8390047458875993,107.68350366560904,6.3
1.9511944732342872,1.3864120296960538,2.834352726988376,107.89950996151508,6.4
1.9443864014452124,1.409294378967917,2.8291631865859252,108.13702423715941,6.5
1.9384100879282393,1.4319340597082757,2.8249899388494017,108.19700383704412,6.6
1.9328573214280556,1.4530462789108554,2.8217962708882522,108.2016001244167,6.7
1.9295353383102989,1.4715412421489786,2.8229281085792066,108.24554805143524,6.8
1.9235940558625308,1.483492193545723,2.8232807003237306,108.00137683970165,6.9
1.9157545304966817,1.4923100986946607,2.821174795833218,107.63460602959537,7.0
1.9076602978438753,1.497507239514794,2.8163915645821955,107.29441029266609,7.1
1.901057731365594,1.498143163079222,2.811650330303486,107.17377194067156,7.2
